Unnamed: 0,Title,Cleaned_Ingredients
765,Grilled Lamb Chops with Kefir Verde Sauce,3 clove s garlic; 1⁄2 cup chopped fresh mint; 1 1⁄2 cups fresh or bottled pomegranate juice; 8 lamb chops; 2 bunches green onions; 1 clove garlic; 1 cup fresh chopped parsley
766,Babee’s Easter Bread,Juice and zest of 1 orange
767,Big-Batch Hard-Boiled Eggs,
768,Saffron Breakfast Kheer,1/4 teaspoon ground ginger; The zest of 1 unwaxed lime; A small handful of toasted coconut flakes
769,Kimchi and Miso Noodle Soup,3 cup s  Asian mushrooms; Juice of 1/2 a lemon; 6 scallions; A small thumb-sized piece of ginger; 4 cloves of garlic; 3 1/2–5 ounces  cabbage kimchi; 3 cups  purple sprouting broccoli; Squeeze of lemon or lime; Some cilantro or shiso leaves
770,Shawarma-Spiced Tofu Pita Wraps,1/2 small red onion; 2 tsp. ground coriander; 1 small garlic clove; 2 Persian or mini cucumbers; Mint leaves
771,"Buddha Bowl with Roasted Sweet Potatoes, Spiced Chickpeas, and Chard",1 clove garlic; 3 tablespoons fresh lemon juice; 2 large sweet potatoes; 1 teaspoon orange zest; 1  can chickpeas
772,Tandoori Chicken and Vegetable Sheet-Pan Supper,4 clove s garlic; 2 tablespoons  fresh ginger; 2 tablespoons fresh lime juice; 2 pounds bone-in; 3/4 pound Yukon Gold potatoes; 4 cups 1-inch cauliflower florets; 4 cups 1-inch broccoli florets; 8 small cremini mushrooms; 1/2 cup red onion
773,Roasted Brussels Sprouts with Warm Honey Glaze,1 1/2 lb . brussels sprouts
774,Sheet-Pan Chicken Meatballs and Charred Broccoli,"1 1/2"" piece ginger"
775,Rigatoni with Easy Vodka Sauce,1 medium onion; 4 garlic cloves; 1  tube double-concentrated tomato paste; Basil leaves
776,Sweet Potato Bowls with Spiced Lamb and Mushrooms,1 l arge sweet potato; 1/2 fennel bulb
777,Date Night Pork Chop,1  bone-in pork loin chop; 1 medium shallot; 1 lemon; 1 small Pink Lady apple
778,Chicken Soup with Caramelized Ginger,1/2 bunch cilantro; 1  piece ginger
779,Coconut Cold Brew Coffee,16 oz . coffee beans; 1 1/2 cups toasted unsweetened shredded coconut
780,Corned Beef with Crispy Roasted Potatoes and Cabbage,1  corned beef brisket; 2 lb. russet potatoes
781,Pineapple Shrimp Noodle Bowls,1 lb . large shrimp; 12 oz.  fresh pineapple cubes; 1 Tbsp. freshly  ginger; 2½ cups pineapple juice; 1 cup basil leaves; 2 mini seedless cucumbers; ½ small red onion; Lime wedges
782,Apple and Calvados Tart (Galette de Pommes au Calvados),1 3/4 pound Gala apples; 2 teaspoons fresh lemon juice
783,Chickpea Flatbreads with Burst Tomato Sauce,2 pints cherry tomatoes; 2 garlic cloves; 1  can chickpeas
784,Food Processor Butter,1 tsp . finely  orange zest; 1/4 cup parsley leaves with tender stems; 1 tsp. finely  garlic; 1 tsp. finely  lemon zest
785,Classic Crème Brûlée,
786,Cook-From-Frozen Steak with Burst Cherry Tomato Sauce,1  boneless rib eye or strip steak; 1 pint cherry tomatoes; 4 garlic cloves
787,Black Bottom Brownie Cookies,1 1/4 oz . chopped bittersweet chocolate
788,Bourbon Sugar and Pretzel Truffles,600g dark chocolate
789,"Cavatappi with Broccolini, Brown Butter, and Sage",2 bunch es Broccolini
790,Crispy Kimchi and Scallion Pancakes,1 teaspoon thinly  scallion; 1 cup kimchi; 4 scallions
791,Coconut Shrimp with Pineapple Herb Dipping Sauce,1/2 cup unsweetened shredded coconut; 18 large shrimp; 1/2  can pineapple chunks in juice; 1/2 cup loosely packed fresh herbs; Juice of 1/2 lime
792,Vegan Matcha Almond Thumbprint Cookies,
793,Mini Potato Leek Frittata,1/2 pound baby Yukon Gold potatoes or whatever baby potato you like; 2 medium leeks; 1 tablespoon chopped fresh parsley leaves; 1 tablespoon chopped fresh chives
794,Coconut Curried Vegetable Stew,1 medium onion; 2 to 3 cloves garlic; 4 medium carrots; 4 medium potatoes
795,Chopped BLT Salad,8 bacon slices; 2 1/2 cups chopped purple cabbage; 1 large bunch hearts of romaine; 1/4 cup chopped onion; 1 medium tomato
796,Ginger + Greens Smoothie,Organic Spinach; Organic Banana; Avocado; Ginger
797,Spinach + Shiitake Grits Harvest Bowl (with sliced avocado),Organic Cauliflower; Organic Spinach; Organic Shiitake Mushroom
798,Cheesy Hand Pies,3 Tbsp . coarsely chopped dill
799,Big-Batch Freezer Pork Tenderloin Strips,3 lb . pork tenderloins; 2 tsp. ground coriander
800,Steak Stroganoff,1 lb . boneless New York strip steak; 1 lb. wild mushrooms
801,Steak Sandwiches with Fennel Slaw,1 chilled leftover steak; 1 small fennel bulb
802,Pan-Roasted Steak with Crispy Broccoli,2 l arge heads of broccoli; 1/2 cup  shallot or red onion; 1/4 cup fresh lime juice; 3  sirloin
803,Lemony Salmon and Spiced Chickpeas,1 l emon
804,Sweet Cinnamon Tamal,4 ears of corn
805,Roasted Winter Squash with Kale Pipian,1/4 white onion; 3 garlic cloves; 1 small bunch Tuscan kale
806,Weeknight Beans on Toast,1 lb . sweet or hot Italian sausage; 5 garlic cloves
807,Sunny Side Burger with Salsa Verde,1 small onion
808,Enchiladas Divorciadas,1/2 white onion; 4 garlic cloves; 1 cup cilantro leaves with tender stems; 1/4 white onion; 1 garlic clove; 3 plum tomatoes; 1  chicken; 12  corn tortillas; Sliced white onion
809,Brussels Sprout Tacos with Spicy Peanut Butter,"1/4 cup scallions; 1 1/2"" piece ginger"
810,Arctic Char Tostadas,"1/4 cup scallions; 1 1/2"" piece ginger"
811,Pickled Rice Tabbouleh,6 g arlic cloves; 1/2 cup cilantro leaves with tender stems; 1/2 serrano; 3 Tbsp. fresh lime juice; 1/2 cup  tender herbs; Zest and juice of 1/2 lemon
812,Black Lentil and Harissa-Roasted Veggie Bowl,2 cup s black beluga lentils; 1/2 tsp. ground coriander; 2 large sweet potatoes
813,Hazelnut Granola and Chia Pudding Bowls,1/2 cup coarsely chopped skin-on hazelnuts or pecans; 1/2 cup unsweetened coconut flakes
814,Parsnip Skordalia,3 medium parsnips
815,Classic Cheese Ball,1/4 cup chopped fresh flat-leaf parsley
816,Barbecued Pork Fried Rice with Mushrooms and Extra Ginger,2 cup s  cultivated mushrooms; 1 tablespoon  Fresno or jalapeño chile; 2 tablespoons  ginger; 1 bunch scallions
817,Meatball Frittata with Mozzarella and Tomatoes,2 g arlic cloves; 1 cup grape or cherry tomatoes; 2 tablespoons slivered basil leaves
818,Raw Caramel Peanut Crunch Bars,20 soft fresh dates
819,Savory Dutch Baby for Two,1 tsp .  thyme leaves; smoked salmon; and lemon wedges
820,Almond Syrup Cake,1 tablespoon finely  lemon rind; 1 vanilla bean
821,Irish Weekend Fry-Up,1-2 medium-size pork sausages; 1-2 slices  thick-cut
822,Earl Grey Doughnuts with Brown Butter Glaze,1/2 cup sparkling clear lemonade
823,Crispy Scallop Salad,1 lb . sea scallops
824,Mezcal Sour,1 1/2 oz . fresh lime juice; Angostura bitters and lime twist
825,Grilled Chicken and Quinoa with Matcha Dressing,2 l arge skinless; 2 Tbsp. fresh lime juice; 2 garlic cloves; 1/2 cup basil leaves; 1/4 cup parsley leaves with tender stems; 12 cups baby greens; 2 cups cherry tomatoes; 4 Persian cucumbers; 2 avocado
826,Black Seed Bread,
827,Winter Squash Frittata,1 g arlic clove; 1 tsp. fresh lemon juice; 1/4 cup tarragon leaves; 1 medium onion; 2 cups coarsely torn kale leaves
828,Avocado Water,1 small ripe avocado; 5 Tbsp. fresh lime juice
829,CBD Caramel Sauce,
830,Soy-Glazed Chicken with Broccoli,1 tsp . finely  ginger; 4 skinless; 1 large head of broccoli; Sliced scallions
831,Maple Meatloaf Muffins,2 cup s  sweet potatoes; 5 ounces bacon; 1 tablespoon chopped fresh thyme; 2 pounds ground beef or bison
832,Full Moon Chocolate Zucchini Cake,5 oz . shredded zucchini
833,Salted Plum Lychee Panna Cotta,6 1/3 teaspoons lime juice; Pomegranate seeds
834,Moroccan Lamb Stew,2 pound s lamb stew meat; 1 small onion; 4 cloves garlic; 1  piece fresh ginger; 2 tablespoons chopped fresh rosemary; 2 small oranges; 4 cups chopped carrots; 2 tablespoons  fresh dates; 1/2 cup chopped fresh cilantro
835,Big-Batch Rice,
836,Lentil Soup with Wheat Berries and Kale,2 medium carrots; 1 large onion; 5 garlic cloves; 1 tsp. coriander seeds; 3/4 cup French green lentils; 2 bunches curly green kale
837,Creamy One-Pot Pasta with Sausage and Squash,12 oz . Italian sausage; 1 garlic clove; 1 sprig sage
838,Make-Ahead Spanish Frittata,2 lb . Yukon Gold potatoes
839,Instant Pot Braised Lamb with White Beans and Spinach,4 bone-in lamb shoulder chops; 1 small onion; 3 garlic cloves
840,Winter Italian Chopped Salad,3 Tbsp . fresh orange juice; 1 large garlic clove; 1 Tbsp. chopped oregano; 1/2 lb. marinated artichoke hearts from a 12-oz. jar; 2  cans chickpeas
841,Almond Butter and Banana Pancakes,2 l arge; Sliced banana and cocoa nibs
842,Arugula and Persimmon Salad with Pistachio Vinaigrette,1/2 pound arugula; 1 tablespoon lemon juice
843,Chocolate-Almond Butter Cups,2 cup s bittersweet chocolate chips
844,"Apples, Potatoes, and Bacon",450g potatoes; 2 large apples; 6 rashers smoked back bacon; A small handful parsley
845,Pear and Pickled Radish,2 perfectly ripe pears; Juice of a large lemon; 6 sprigs dill; 350g  radishes
846,Root Vegetable Hash,6 cup s small- root vegetables
847,Eggplant Parm,1 l arge eggplant; 1 teaspoon dried basil; 1 teaspoon dried oregano
848,Coconut-Fig Energy Balls,30 dried unsweetened Turkish figs; 2 cups unsweetened shredded coconut
849,"A Salad of Brussels Sprouts, Clementines, and Russet Apple",175g Brussels sprouts; A russet apple; A large handful flat-leaf parsley leaves; A lemon
850,Beet and Carrot Salad,2 cup s shredded unpeeled carrots; 1 cup chopped raw walnuts; 1/4 cup chopped scallions; 1/4 cup chopped fresh flat-leaf parsley; Freshly  peel of 1 orange; 1/4 cup freshly squeezed orange juice
851,Classic Smashed Cheeseburger,3/4 pound freshly ground sirloin; Four 1/4-inch-thick tomato slices; 4 burger-sized pieces green-leaf lettuce
852,Penne alla Vodka,One 35-ounce can Italian plum tomatoes  with their liquid; 10 cloves garlic; 2 to 3 tablespoons chopped fresh Italian parsley
853,"""Nextover"" Chile-Orange Pork Stir-Fry",1/2 cup Slow-Cooker Chipotle-Orange Pork juices; 1 Tbsp. finely  fresh ginger; 4 large garlic cloves; 2 cups leftover shredded Slow-Cooker Chipotle-Orange Pork; 1 lb. green beans
854,Slow-Cooker Chipotle-Orange Pork Tacos,1  skinless
855,New Year's Eve Meat Pie,2 lb . boneless beef chuck roast; 3 small Yukon Gold potatoes
856,Chocolate-Tahini Linzer Cookies,
857,Slow Roast Beef,6 g arlic cloves; 3 Tbsp.  rosemary; 2 Tbsp. prepared horseradish; 1/2 tsp. finely  lemon zest; Warm rolls and cornichons
858,Grapefruit Bars with Candied Zest,1 g rapefruit; 1 Tbsp. finely  grapefruit zest; 1/4 cup fresh grapefruit juice; 2 tsp. finely  lemon zest; 3/4 cup fresh lemon juice
859,Raspberry Rugelach,Zest of 1 orange; 1 1/2 cups  walnuts
860,Double Pecan Thumbprints,
861,Salted Chocolate Halva,1/4 cup dried edible flowers
862,Pineapple-Glazed Ham,1/2 pineapple
863,Trout Toast with Soft Scrambled Eggs,1 skin-on
864,Spiced Chickpeas and Greens Frittata,1 1/2 cup s chopped tender herbs; 2  cans chickpeas
865,Egg and Merguez Wraps,2 Tbsp . fresh lemon juice; 1 garlic clove; 1 lb. merguez sausage; 1/2 small red onion
866,"Chicory, Bacon, and Poached Egg Salad",1 medium shallot; 8 oz. slab or thick-cut bacon; 2  sprigs rosemary; 1 lb. mixed wild mushrooms
867,Citrus-and-Dill Gravlax,1 bunch dill; 2 grapefruits; 3 lemons; 1  boneless side of salmon;  red onion; and/or lemon wedges
868,Steak and Eggs with Saucy Beans,2  boneless New York strip steaks; 2 medium shallots; 4 garlic cloves; 1 small bunch cilantro
869,Zebra-Striped Shortbread Cookies,
870,Cold Toddy,1 medium orange; 5–6 medium lemons; 1  piece ginger
871,Spicy Lightly Pickled Cucumbers,2 lb . medium Persian cucumbers; 2 Tbsp. chopped dill; 2 Tbsp. fresh lemon juice
872,Pimiento Cheese Crackers,
873,Snickerdoodle Party Cookies,2 Skor bars; 3 cups cornflakes
874,Onion-Dip Potato Chips,1/3 cup dill; 1 lemon
875,Mortadella Moments,
876,Marinated Manchego,1 head garlic; 1 small orange
877,Lemon-Pepper Salami Bites,1 l emon
878,Chicken and Bacon Choucroute with Potato Salad,3 lb . baby Yukon Gold potatoes; 2 small shallots; 1/4 cup tarragon leaves; 3 lb. skin-on; 8 oz. slab bacon; 6 garlic cloves; 2 large sprigs thyme; 2 lb. sausages
879,Jerk-Spiced Duck,2  ducks; 2  pieces ginger
880,Sausage and Greens Sheet-Pan Dinner,1 1/2 lb . micro potatoes  or new potatoes; 1 lb.  uncooked sweet or spicy Italian sausage; 1 large bunch Tuscan kale or collard greens
881,Oven Risotto with Crispy Roasted Mushrooms,1 lb . mixed wild
882,Plain Popcorn,1/3 cup popcorn kernels
883,Luscious Hot Chocolate,12 ounce s semisweet chocolate
884,Sheet-Pan Grilled Cheese,
885,Pigs-in-a-Blanket with Sauerkraut and Mustard,2 pound s fully cooked German-style sausage such as bockwurst or bratwurst
886,Big-Batch Seasoned Ground Beef,4 lb . ground beef chuck
887,Salmon and Bok Choy Green Coconut Curry,4  skinless salmon fillets; 2 tsp. finely  peeled ginger; 1 garlic clove; 1 head of bok choy; 2 Tbsp. fresh lime juice; 4 scallions; 1/2 cup cilantro leaves with tender stems
888,Porcini Popovers,1/2 oz dried porcini mushrooms
889,Citrusy Haricots Verts,1 tsp lemon zest; 1 tsp  orange zest; 1 tsp fresh lemon juice; 1 tsp fresh orange juice
890,Creamy Potato and Leek Gratin,9 medium leeks; 2 lb russet  potatoes; 2 tsp thyme leaves
891,Cranberry-Pistachio Baked Alaska,1/2 vanilla bean; 1/2 cup raw shelled pistachios; 2  strips orange zest
892,Orange-Ginger Pickled Baby Carrots,2 lb baby carrots with tops
893,Truffled Bay Scallops with Celery Purée,1 1/2 cup s thinly  celery; 1/2 cup chopped peeled potato; 1/4 cup  onion; 1/2 cup flat-leaf parsley sprigs; 1 lb bay scallops; Garnish: chopped celery leaves
894,Pomegranate Prosecco Punch,1 qt chilled pomegranate juice; 2 Tbsp fresh lime juice; 1 lime
895,Crazy Sesame Breadsticks,
896,Beef Rib Roast with Garlic and Rosemary,12 g arlic cloves; 1/4 cup chopped rosemary; 1  standing beef rib roast
897,Watercress and Persimmon Salad with Champagne Vinaigrette,2 Tbsp shallot; 1 tsp  lemon zest; 16 cups watercress
898,Candied Kumquats,
899,Chocolate-Hazelnut Napoleons,2 oz unsweetened chocolate
900,Chocolate Shortbread Slice,400g dark chocolate
901,Raw Peppermint Slice,10 soft fresh dates; 1/3 cup  desiccated coconut; 2 cups  desiccated coconut
902,Savory Kimchi Oatmeal Bowl,2 cup s spinach; Sliced avocado
903,Orange and Poppy Seed Stollen,1 medium-sized orange
904,A  Jolly Good Mince Pie,
905,Crunchy Chocolate Caramel Layer Cake,chopped
906,Sweet Potato Toasts with Toppings,1 l arge sweet potato
908,Instant Pot Butternut Squash Hash,1 onion; 5 rosemary needles; 1 garlic clove
909,Pistachio-Rose Shortbread Squares,1 tsp . finely  lemon zest; 1/2 cup raw pistachios
910,Molasses Sandwich Cookies with Coffee Cream,1/2 tsp . ground ginger
911,White Chocolate Fruitcake Bars,1 Tbsp . finely  orange zest; 1 Tbsp. freshly  ginger; 1 cup dried cranberries; 3/4 cup unsweetened coconut flakes or coconut chips; 2 oz. white chocolate; 8 oz. white chocolate
912,Hanukkah Chicken,3 lb . skinless; 2 lb. russet potatoes
913,Tandoori Chicken Bowls,2 tsp . tomato paste; 1 tsp. ground coriander; 1½ lb. skinless
914,Cranberry Linzer Tart,1 Tbsp . finely  peeled ginger; 1 tsp. finely  lemon zest; 2 tsp. finely  lemon zest
915,Parsnip Confit with Pickled Currants,2 1/2 lb . parsnips
916,Cranberry Sauce with Orange and Cinnamon,1 medium navel orange
917,Cornbread Stuffing with Sausage and Collard Greens,1 1/2 lb . hot or sweet Italian sausage; 1 large onion; 2 celery stalks; 6 garlic cloves; 2 Tbsp.  rosemary; 2 bunches collard greens
918,Shaved Carrots with Charred Dates,1 1/2 lb . purple or orange carrots
919,Butternut Squash Tarte Tatin,1 Tbsp . fresh lemon juice
920,Classic Herb and Fennel Stuffing,2 medium onions; 1 fennel bulb; 4 celery stalks; 1 cup chopped parsley; 2 Tbsp. chopped sage; 1 Tbsp. chopped rosemary; 1 Tbsp. chopped thyme
921,Stir-Fried Brussels Sprouts,2 lb . brussels sprouts; 1/2 lemon
922,Spicy Cranberry Sauce,1 l arge shallot; 2 jalapeños
923,Make-Ahead Mashed Potatoes,4 lb . medium Yukon Gold potatoes
924,Shingled Sweet Potatoes with Harissa,3 1/4 lb . medium sweet potatoes; 1 tsp. fennel seeds
925,Glazed and Flaky Apple Tart,1 l emon; 1/4 cup brandy
926,Cheesy Kale and Mushroom Strata,8 oz . crimini mushrooms; 2 garlic cloves; 3 leeks
927,Wild Rice Dressing,2 Tbsp . fresh orange juice; 1 garlic clove; 2 large leeks
928,Cranberry-Fig Sauce,1 l arge shallot; 1 Tbsp.  rosemary; 6 oz. dried Turkish figs
929,Glazed Shallots with Chile and Thyme,1 1/2 lb . medium shallots
930,Pasta with Sausage and Arugula,2 small red onions; 1 fennel bulb; 8 oz. hot or sweet Italian sausage; 1 tsp. finely  lemon zest; 2 Tbsp. fresh lemon juice; 6 cups baby arugula
931,Burnished Potato Nuggets,5 lb . russet potatoes
932,Citrus Shrimp Rice Bowls,1/2 cup fresh orange juice; 1 Tbsp. plus 1 tsp. fresh lime juice; 1 1/2 lb. jumbo or large shrimp
933,Chicken Soup with Charred Cabbage,1 cooked chicken carcass; 8 oz. shiitake mushrooms
934,Dry-Rubbed Roast Turkey,1  turkey
935,Dry-Rubbed Turkey Breast,1 Tbsp . coriander seeds; 1 Tbsp. fennel seeds; bone-in turkey breast
936,Fall Spritz,Orange twist
937,Broccoli Caesar,1 g arlic clove; 1/4 cup fresh lemon juice; 2 medium heads of broccoli; 1/4 head of savoy or Napa cabbage; Finely  lemon zest
938,Buttermilk Cornbread,
939,Coconut-Apple-Ginger Dal,1/2 l arge onion; 2 garlic cloves; 1  piece ginger
940,Radicchio Salad with Sour Cream Ranch,5 g arlic cloves
941,Toasted Pecan Torte with Butterscotch Topping,1 Tbsp . finely  orange zest
942,Shortcut Puff Pastry,
943,Sunday Stash Braised Beef,5 lb . boneless beef short ribs or Denver steaks; 5 garlic cloves; 2 Tbsp. tomato paste
944,Charred Steak and Broccolini with Cheese Sauce,2  boneless New York strip steaks; 2 bunches broccolini
945,Skillet Dressing with Cornbread and Biscuits,1 l arge onion; 3 large celery stalks; 2 Tbsp. ground dried sage
946,Sheet-Pan Cider-Ricotta Pancakes with Pear Compote,4 Bartlett pears; 1/4 cup unsweetened apple cider; 3 Tbsp. fresh lemon juice; 1 1/2 cups unsweetened apple cider; 1 Tbsp. finely  lemon zest
947,Vegetarian Skillet Stuffed Shells,1/2 lb . crimini mushrooms; 5 oz. baby spinach; 6 garlic cloves; 3 Tbsp.  oregano
948,Mushroom and Kale Breakfast Skillet,1/2 tsp . coriander seeds; 2 medium onions
949,Smoky Beans and Greens on Toast,4 ounce s  smoked bacon; 1 medium onion; 3 garlic cloves; 1 teaspoon fresh thyme leaves; 1 large bunch or 2 small bunches  lacinato kale
950,Roasted Cauliflower with Sesame,1 head cauliflower; 1 teaspoon ground coriander; 1 teaspoon dried oregano
951,Ricotta Filo Cake,Finely  zest of a lemon; Finely  zest of an orange; 3 Tbsp chopped candied citrus peel
952,Roast Pumpkin with Dukkha and Pomegranate,1 Tbsp coriander seeds; 2 Tbsp dried thyme; A small pomegranate
953,Big Easy Pumpkin Beignets,
954,Dried Fig and Marsala Tart,500g dried figs
955,"Clams with Chorizo, Leeks, Tomato, and White Wine",1 or 2 medium leeks; 4 garlic cloves
956,Brodo di Parmigiano (Parmesan Broth),1 small
957,Russian Deviled Eggs,8 teaspoons  red caviar; Fresh dill or parsley
958,Stars Pappardelle,1/2 batch dough
959,Beet and Fig Salad with Candied Pecans,Juice of 1 lemon; 4 to 6 cups arugula; 1 pint fresh Black Mission figs
960,Instant Pot Beef and Sweet Potato Chili,2 medium red onions; 4 oz. bacon; 1 lb. ground beef; 6 garlic cloves
961,Cacio e Pepe Pie,
962,Marbled Pumpkin-Maple Cheesecake Bars,10 oz . graham crackers; 1/2 tsp. ground ginger
963,Turkey for Twenty,4 skin-on
964,Roasted Cauliflower with Parmesan-Panko Crumble,4 l arge heads of cauliflower
965,Spicy Cornbread Stuffing with Chorizo and Sweet Potatoes,2 lb . sweet potatoes
966,Pecan-Cranberry Galette,
967,Cheesy Corn Spoon Bread,2 g arlic cloves
968,"Roasted Carrot, Brussels Sprout, and Cranberry Salad",4 medium carrots; 6 oz. brussels sprouts
969,Turkey for Two with Pan-Sauce Gravy,1 split skin-on; 2 sprigs thyme; 1 sprig rosemary; 1 sprig sage; 2 garlic cloves
970,Roast Sausage and Fennel with Orange,2 medium fennel bulbs
971,Slow-Cooked Chicken Stew with Kale,8 piece s chicken thigh skin; 1 small garlic clove; 2 Tbsp.  parsley; 1 tsp. finely  lemon zest; 1 small lemon
972,Silky Pork and Cumin Stew,1/2 small head of red cabbage; 2 ripe avocados
973,Slow-Cooked Halibut with Garlic Cream and Fennel,2 small fennel bulbs
974,Butternut Squash and Chorizo Hash,1 medium onion; Lime wedges and cilantro leaves with tender stems
975,Raw Butternut Squash Ribbon Salad with Orange and Chile,2 g arlic cloves; 2 tsp. finely  orange zest; 5 Tbsp. fresh orange juice
976,Curried Chickpea and Lentil Dal,1 small shallot; 3 Tbsp. chopped golden raisins; 2 Tbsp.  cilantro stems; 1 Tbsp. fresh lime juice; 2 medium onions; 2 heads of garlic; 1  piece ginger
977,Warm-Spiced Saucy Lamb Stew,1/2 medium head of cauliflower; 3 Tbsp.  mint; 1 Tbsp. fresh lemon juice; 5 lb. lamb shanks; 2 large red onions; 2 heads of garlic; 1 1/2 tsp. coriander seeds; mint leaves; and/or  preserved lemon
978,Ham Hock and White Bean Stew,3 medium shallots; 2 medium onions; 2 heads of garlic; 2 small carrots
979,Oxtail and Red Wine Stew,2 Tbsp .  chives; 2 tsp. thyme leaves; 1 small knob horseradish; 5 lb. oxtails or beef short ribs
980,Roast Fish with Cannellini Beans and Green Olives,4 sprig s oregano; 2  cans cannellini  beans; 1 1/2 lb. whole skinless whitefish fillet; 2 small shallots; 2 lemons
981,Herby Pasta with Garlic and Green Olives,8 g arlic cloves; 1 cup  parsley; 1 cup basil leaves; 2 tsp. fresh lemon juice
982,Roast Chicken Legs with Lots of Garlic,4 chicken legs; 4 heads of garlic; 1 lemon
983,"Butternut Squash, Coconut, and Ginger Muffins",2 tsp .  peeled ginger; 3/4 cup unsweetened shredded coconut; 3/4 cup coarsely chopped pecans
984,Baked Pasta alla Norma,1 medium globe eggplant
985,Butternut Squash Steaks with Brown Butter–Sage Sauce,6 sage leaves; 2 garlic cloves; 1 Tbsp. fresh lemon juice
986,The Garlickiest Fried Rice,8 g arlic cloves; 1  piece ginger
987,Oven Polenta with Roasted Mushrooms and Thyme,1 1/2 lb . mixed mushrooms; 4 sprigs thyme; 6 garlic cloves
988,Fermented Garlic Honey,12 g arlic cloves
989,Garlic-Chile Vinegar,8 g arlic cloves; 1  piece ginger
990,Silky Peanut Butter Dressing,1/4 cup fresh lime
991,Herby Garlic Confit,4 head s of garlic
992,Broccoli and Garlic-Ricotta Toasts with Hot Honey,1 head broccoli
993,Cucumbers with Ajo Blanco Sauce,5 mini seedless or Persian cucumbers; 1 garlic clove
994,Kitty Highball,1/2 ounce lime juice; Garnish: CANDIED GINGER
995,Winter of Our Content,3/4 ounce Laird’s Straight Apple Brandy; 3/4 ounce lemon juice; Glass: CHAMPAGNE FLUTE; Garnish: ORANGE TWIST
996,Perfect Circle,18 orange wheels
997,All She Wrote,3 tablespoons pamplemousse  liqueur
998,Mr. Tingles' Punch,25 ounce s pomegranate juice; 8 1/2 ounces fresh lemon juice; about 20 lemon wheels; 1/4 cup pomegranate seeds
999,Sunday Stash Sweet Potatoes,8 l arge sweet potatoes
1000,Pumpkin Cheesecake with Bourbon–Sour Cream Topping,1/2 cup pecans; 1/2 teaspoon ground ginger
1001,Butternut Squash and Creamed-Spinach Gratin,3 pound s fresh spinach
1002,Roasted Brussels Sprouts with Garlic and Pancetta,1 lb Brussels sprouts; 1 garlic clove
1003,The Simplest Roast Turkey,
1004,Parmesan-Roasted Butternut Squash,3 sage leaves
1005,Pressed Broccoli Rabe and Mozzarella Sandwiches,3/4 lb [340 g] broccoli rabe
1006,Manchurian Green Beans with Tofu,1 1/2 pound s green beans
1007,Costa Rican Breakfast Bowl (Gallo Pinto),1/2 yellow onion; 1/2 bunch kale
1008,Leek-Top Baking-Sheet Hash,1 pound smoked beef brisket or corned beef; 1 1/2 pounds fingerling potatoes or other small potatoes; 3 leeks
1010,Hush-Up Spicy Gluten-Free Hush Puppies,1/2 cup corn kernels; 1  can chunk white chicken; 3/4 cup  onion; 2 cloves garlic; 1 small tomato
1011,Chuck Eye with Carrot Top Salsa Verde,2 pound s chuck eye steak or skirt steak; 2 cups carrot tops; 1 cup fresh basil leaves; 1 cup fresh mint leaves; Finely  zest and juice of 1/2 lemon
1012,Vegetable Frittata with Asiago Cheese,1 medium-size red onion; 1 medium zucchini; 2 cups  spinach leaves; 1 cup chopped tomatoes; 1 tablespoon chopped fresh basil
1013,Sheet-Pan Curry Pork Chops and Sweet Potatoes,4  small bone-in pork chops; 8 small sweet potatoes
1014,Slow-Roast Spiced Lamb Shoulder with Sumac Onions,1  bone-in lamb shoulder; 2 Tbsp. coriander seeds; 1 large red onion; 3 Tbsp. fresh lemon juice; 1/2 cup mint leaves; 1/2 cup parsley leaves with tender stems
1015,Pan-Seared Scallops with Chorizo and Corn,3 ears of corn; 2 oz. smoked Spanish chorizo; 12 scallions
1016,Baked Cinnamon Toast with Fruit,2 lb . apples
1017,Lemon Cake with Fruit,1 l emon; 3 Tbsp. pear
1018,Slow-Cooked Scallions with Ginger and Chile,12 oz . scallions; 1/2 head of garlic; 1  piece ginger
1019,Slow-Cooked Eggplant with Lemon and Fennel Seeds,1 lb . fairy tale eggplants; 1/2 head of garlic; Zest of 1 lemon; 3/4 tsp. fennel seeds; 1 Tbsp. fresh lemon juice
1020,Eggplant with Cashew Butter and Pickled Peppers,3 mixed chiles; 1 medium shallot; 2 garlic cloves; 2 Tbsp. fresh lime juice; 2 lb. eggplants
1021,Slow-Cooked Bell Peppers with Bay Leaves and Oregano,1/2 head garlic; 2 sprigs oregano
1022,Slow-Cooked Winter Squash with Sage and Thyme,1 lb . delicata or acorn squash
1023,"Roast Chicken with Bell Peppers, Lemon, and Thyme",1 l arge shallot; 5 sprigs thyme; 1  chicken; 1 lemon
1024,Grapefruit-Orange Crostatas,1 g rapefruit; 1 orange
1025,Slow-Cooked Green Beans with Harissa and Cumin,1 lb . green or other snap beans; 1/2 head of garlic
1026,Slow-Cooked Summer Squash with Lemon and Thyme,1 lb . summer squash or zucchini; 1/2 head of garlic; Zest of 1 lemon; 2 sprigs thyme; 1 Tbsp. fresh lemon juice
1027,Slow-Cooked Cherry Tomatoes with Coriander and Rosemary,1 1/2 lb . ripe cherry tomatoes; 1/2 head of garlic; 2 sprigs rosemary; 3/4 tsp. coriander seeds
1028,Chopped Salad,1 small kabocha or acorn squash; 2 Tbsp. fresh lemon juice; 8 oz. brussels sprouts
